Ticker,Name,Theme
396500,MIRAE ASSET TIGER SEMICONDUC,한국 반도체
LIT,GLOBAL X LITHIUM & BATTERY T,2차 전지
091230,MIRAE TIGER SEMINCON ETF,한국 반도체
SHLD,GLOBAL X DEFENSE TECH ETF,방위테크
IHE,ISHARES US PHARMACEUTICALS E,안티에이징
BATT,AMPLIFY LITHIUM BATTERY TECH,2차 전지
HTEC,ROBO GLOBAL HEALTHCARE TECH,디지털 헬스케어
XBI,SS SPDR S&P BIOTECH ETF,바이오테크
GUNR,FLEXSHARES GLOBAL UPSTREAM N,천연가스
PPH,VANECK PHARMACEUTICAL ETF,안티에이징
ITA,ISHARES U.S. AEROSPACE & DEF,방위테크
IBB,ISHARES BIOTECHNOLOGY ETF,바이오테크
UFO,PROCURE SPACE ETF,우주항공
AGNG,GLB X AGING POPULATION ETF,고령화
RNRG,GLOBAL X RENEWABLE ENER PROD,신재생에너지
3191.HK,GLOBAL X CHINA SEMICONDU-HKD,중국 반도체
IDNA,ISHARES GEN-IMMUNOLOGY HLTH,유전자 편집기술
DRIV,GLOBAL X AUTONOMOUS&ELEC-ETF,자율주행
FAN,FIRST TRUST GLOBAL WIND ENER,풍력
ACWI,ISHARES MSCI ACWI ETF,MSCI ACWI
SMH,VANECK SEMICONDUCTOR ETF,반도체
GNOM,GLOBAL X GENOMICS & BIOTECHN,유전자 편집기술
9826.HK,GLOBAL X CHINA CLOUD COM-USD,중국 클라우드
2807.HK,GLOBAL X CHINA ROBOTICS -HKD,중국 로봇&AI
2826.HK,GLOBAL X CHINA CLOUD COM-HKD,중국 클라우드
2809.HK,GLOBAL X CHINA CLEAN ENE-HKD,중국 클린에너지
ROBO,ROBO GLOBAL ROBOTICS AND AUT,로보틱스/자동화
2820.HK,GLOBAL X CHINA BIOTECH-HKD,중국 바이오테크
ARKX,ARK SPACE & DEFENSE INNOVATI,우주항공
ARKQ,ARK AUTONOMOUS TECH & ROBOT,로보틱스/자동화
BBH,VANECK BIOTECH ETF,바이오테크
IDRV,ISHARES SELF-DRIVING EV&TECH,자율주행
SOXX,ISHARES SEMICONDUCTOR ETF,반도체
AIRR,FIRST TRUST RBA AMERICAN IND,미국 리쇼어링
NXTG,FIRST TRUST INDXX NEXTG ETF,5G
DTCR,GLOBAL X DATA CENTER & DIGIT,데이터센터
ICLN,ISHARES GLOBAL CLEAN ENERGY,클린에너지
FCOM,FIDELITY MSCI COMM SERV INDX,소셜미디어
ONLN,PROSHARES ONLINE RETAIL ETF,이커머스
CTEC,GLOBAL X CLEANTECH ETF,클린에너지
PBW,INVESCO WILDERHILL CLEAN ENE,클린에너지
AIQ,GLOBAL X ART INTEL & TECH,AI 기술
TAN,INVESCO SOLAR ETF,태양광
GRID,FIRST TRST NASD CL EDG SGIIF,스마트그리드
QCLN,FIRST TRUST NASDAQ CLEAN EDG,클린에너지
SIXG,DEFIANCE CONNECTIVE TECH ETF,6G
PAVE,GLOBAL X US INFRASTRUCTURE,인프라
2845.HK,GLOBAL X CHINA ELECTRIC -HKD,중국 2차전지
IYZ,ISHARES US TELECOMMUNICATION,네트워크 장비
IGF,ISHARES GLOBAL INFRASTRUCTUR,인프라
SOCL,GLOBAL X SOCIAL MEDIA ETF,소셜미디어
BOTZ,GLOBAL X ROBOTICS & ARTIFICI,로보틱스/자동화
371160,MA TIGER CHINA HS TECH ETF,중국테크
KURE,KRANESHARES MSCI ALL CHINA H,중국 바이오테크
MOO,VANECK AGRIBUSINESS ETF,농업기술
KOMP,SS SPDR S&P KENSHO NE COMP,신산업
URA,GLOBAL X URANIUM ETF,원자력
PEJ,INVESCO LEISURE & ENTERTAINM,소비
HYDR,GLOBAL X HYDROGEN ETF,수소
ARKG,ARK GENOMIC REVOLUTION ETF,유전자 편집기술
NLR,VANECK URANI & NUCLR ETF-USD,원자력
VEGI,ISHARES MSCI AGRICULTURE PRO,농업기술
METV,ROUNDHILL BALL METAVERSE ETF,메타버스
EBIZ,GLOBAL X E-COMMERCE ETF,이커머스
IBUY,AMPLIFY ONLINE RETAIL ETF,이커머스
GAMR,AMPLIFY VIDEO GAME LDRS ETF,메타버스
KROP,GLOBAL X AGTECH & FOOD INNOV,농업기술
AQWA,GLOBAL X CLEAN WATER ETF,수자원
PHO,INVESCO WATER RESOURCES ETF,수력
KWEB,KRANESH CSI CHINA INTERNET,차이나테크
IHI,ISHARES U.S. MEDICAL DEVICES,의료기기
HERO,GLOBAL X VIDEO GAMES& ESPORT,메타버스
PRNT,THE 3D PRINTING ETF,3D프린팅
IDGT,ISHARES US DGTL INFRA & R/E,네트워크 장비
ESPO,VANECK VIDEOGAMING ESPORTS,메타버스
BLOK,AMPLIFY BLOCKCHAIN TECH ETF,블록체인
2806.HK,GLOBAL X CHINA CONSUMER -HKD,중국 소비
BKCH,GLOBAL X BLOCKCHAIN ETF,블록체인
EMQQ,EMG MKT INTERNET ETF-USA INC,신흥국 인터넷&이커머스
ARKW,ARK NEXT GENERATION INTERNET,인터넷
SNSR,GLOBAL X INTERNET OF THINGS,IoT
CIBR,FIRST TRUST NASDAQ CYBERSECU,사이버보안
SKYY,FIRST TRUST CLOUD COMPUTING,클라우드
ARKF,ARK BLOCKCHAIN & FINTECH INN,핀테크
MILN,GLOBAL X MILLENNIAL CONSUMER,밀레니얼소비
OGIG,ALPS OSHARES GLOBAL INTERNET,인터넷
HACK,AMPLIFY CYBERSECURITY ETF,사이버보안
CLOU,GLOBAL X CLOUD COMPUTING ETF,클라우드
AWAY,AMPLIFY TRAVEL TECH ETF,관광
IGV,ISHARES EXPANDED TECH-SOFTWA,소프트웨어
BITS,GLOBAL X BLOCK & BIT STRAT,블록체인&비트코인
FINX,GLOBAL X FINTECH ETF,핀테크
IPAY,AMPLIFY DIGITAL PAYMENTS ETF,핀테크
BUG,GLOBAL X CYBERSECURITY ETF,사이버보안
0047A0,MIRAE ASSET TIGER CHINA TECH,중국 테크
